"","hour","meanH","sdH","minH","maxH","varH","rateH","posH","negH","neutH","proximityH"
"350","Feb 17 16",-0.308674792243767,0.507520878444669,-0.9747,0.8433,0.257577442057249,361,0.085797783933518,0.200847645429363,0.713318559556787,69.1447383810403
"351","Feb 17 17",-0.274303105590062,0.498346466252609,-0.9747,0.836,0.248349200426462,322,0.0910900621118012,0.190984472049689,0.717863354037267,70.1252191166322
"352","Feb 17 18",-0.275359944751381,0.499559472387497,-0.9747,0.9442,0.249559666452074,362,0.0846850828729282,0.191646408839779,0.723649171270718,71.1192410988336
"353","Feb 17 19",-0.315524778761062,0.474523472997508,-0.9747,0.7964,0.225172526425617,339,0.071976401179941,0.187424778761062,0.740533923303835,72.1436234021632
"354","Feb 17 20",-0.189477611940298,0.489385692278341,-0.9747,0.7506,0.239498355806752,402,0.0889477611940298,0.165907960199005,0.745159203980099,73.137960199005
"355","Feb 17 21",-0.206160104986877,0.4668774979461,-0.9747,0.7866,0.21797459808841,381,0.0864803149606299,0.164989501312336,0.748553805774278,74.1179345290172
"356","Feb 17 22",-0.184013271604938,0.476036905497961,-0.9747,0.7783,0.226611135396074,324,0.0915864197530864,0.163506172839506,0.744956790123457,75.1353892318244
"357","Feb 17 23",-0.202143353783231,0.438673340416315,-0.9747,0.9442,0.192434299592008,489,0.103108384458078,0.175137014314928,0.721795501022495,76.1588281072484
"358","Feb 18 00",-0.216863370786517,0.417652156480649,-0.9747,0.6975,0.174433323812937,445,0.0989932584269663,0.173991011235955,0.727022471910112,77.1405742821473
"359","Feb 18 01",-0.213969268292683,0.451482644592964,-0.9747,0.9037,0.203836578368656,410,0.101968292682927,0.17809512195122,0.719975609756098,78.127358401084
"360","Feb 18 02",-0.256526130653266,0.443312515976896,-0.9803,0.8122,0.196525986821766,398,0.087643216080402,0.17456783919598,0.737816582914573,79.1199343941932
"361","Feb 18 03",-0.258053805774278,0.471689401393326,-0.9393,0.9339,0.222490891386794,381,0.0877060367454068,0.177477690288714,0.734839895013123,80.1145239136775
"362","Feb 18 04",-0.191536137071651,0.493164352361392,-0.9313,0.7385,0.243211078440031,321,0.0957383177570093,0.168697819314642,0.735644859813084,81.1233047767394
"363","Feb 18 05",-0.204783739837398,0.480360224928867,-0.9524,0.8074,0.230745945693712,246,0.0957967479674797,0.172520325203252,0.731747967479675,82.1155803974706
"364","Feb 18 06",-0.194495939086294,0.452405609823476,-0.9274,0.8126,0.204670835799751,197,0.0945685279187817,0.16338578680203,0.74207614213198,83.1116159052453
"365","Feb 18 07",-0.241906060606061,0.485673012467882,-0.872,0.8065,0.235878275039627,66,0.0926515151515152,0.174727272727273,0.73269696969697,84.4303703703704
"366","Feb 18 08",-0.284759259259259,0.432940305301633,-0.9747,0.6855,0.187437307954671,135,0.0679185185185185,0.174851851851852,0.757274074074074,85.1113395061728
"367","Feb 18 09",-0.158578846153846,0.477243941139115,-0.9747,0.8225,0.227761779353995,104,0.110009615384615,0.160375,0.729625,86.1245325854701
"368","Feb 18 10",-0.305468316831683,0.463854948864555,-0.9393,0.7385,0.215161413586139,101,0.0790495049504951,0.198811881188119,0.72209900990099,87.1695352035204
"369","Feb 18 11",-0.214193333333333,0.474090729311434,-0.9337,0.6908,0.224762019619047,120,0.084975,0.158716666666667,0.756358333333333,88.1639212962963
